param,mean,median,ci_0.950_LB,ci_0.950_UB
Q_ind_61_anc_2-1,0.000423,0.000000,0.000000,0.003191
Q_ind_62_anc_2-1,0.000009,0.000000,0.000000,0.000094
Q_ind_63_anc_2-1,0.000010,0.000000,0.000000,0.000114
Q_ind_64_anc_2-1,0.000011,0.000000,0.000000,0.000119
Q_ind_65_anc_2-1,0.000009,0.000000,0.000000,0.000099
Q_ind_66_anc_2-1,0.000012,0.000000,0.000000,0.000121
Q_ind_67_anc_2-1,0.000021,0.000000,0.000000,0.000243
Q_ind_68_anc_2-1,0.000011,0.000000,0.000000,0.000125
Q_ind_69_anc_2-1,0.000011,0.000000,0.000000,0.000124
Q_ind_70_anc_2-1,0.000009,0.000000,0.000000,0.000105
Q_ind_71_anc_2-1,0.000010,0.000000,0.000000,0.000106
Q_ind_72_anc_2-1,0.000010,0.000000,0.000000,0.000120
Q_ind_73_anc_2-1,0.000013,0.000000,0.000000,0.000158
Q_ind_74_anc_2-1,0.000008,0.000000,0.000000,0.000078
Q_ind_75_anc_2-1,0.000017,0.000000,0.000000,0.000196
Q_ind_76_anc_2-1,0.006650,0.006527,0.002879,0.011189
Q_ind_77_anc_2-1,0.000009,0.000000,0.000000,0.000089
Q_ind_78_anc_2-1,0.063304,0.063159,0.053220,0.073818
Q_ind_79_anc_2-1,0.018988,0.018815,0.013345,0.025439
Q_ind_80_anc_2-1,0.000010,0.000000,0.000000,0.000091
Q_ind_81_anc_2-1,0.000011,0.000000,0.000000,0.000107
Q_ind_82_anc_2-1,0.000020,0.000000,0.000000,0.000212
Q_ind_83_anc_2-1,0.000020,0.000000,0.000000,0.000212
Q_ind_84_anc_2-1,0.000037,0.000000,0.000000,0.000474
Q_ind_85_anc_2-1,0.000007,0.000000,0.000000,0.000074
Q_ind_86_anc_2-1,0.000025,0.000000,0.000000,0.000311
Q_ind_87_anc_2-1,0.000066,0.000000,0.000000,0.000862
Q_ind_88_anc_2-1,0.000018,0.000000,0.000000,0.000206
Q_ind_89_anc_2-1,0.000022,0.000000,0.000000,0.000221
Q_ind_90_anc_2-1,0.000018,0.000000,0.000000,0.000208
Q_ind_91_anc_2-1,0.004337,0.004219,0.000000,0.008549
Q_ind_92_anc_2-1,0.000008,0.000000,0.000000,0.000070
Q_ind_93_anc_2-1,0.067226,0.067095,0.057450,0.077840
Q_ind_94_anc_2-1,0.006667,0.006534,0.003722,0.010448
Q_ind_95_anc_2-1,0.000009,0.000000,0.000000,0.000106
Q_ind_96_anc_2-1,0.000007,0.000000,0.000000,0.000063
Q_ind_97_anc_2-1,0.000025,0.000000,0.000000,0.000333
Q_ind_98_anc_2-1,0.000864,0.000484,0.000000,0.003367
Q_ind_99_anc_2-1,0.003138,0.003016,0.000731,0.006125
Q_ind_100_anc_2-1,0.000008,0.000000,0.000000,0.000081
Q_ind_101_anc_2-1,0.000007,0.000000,0.000000,0.000082
Q_ind_102_anc_2-1,0.000013,0.000000,0.000000,0.000148
Q_ind_103_anc_2-1,0.000008,0.000000,0.000000,0.000079
Q_ind_104_anc_2-1,0.000008,0.000000,0.000000,0.000075
Q_ind_105_anc_2-1,0.000007,0.000000,0.000000,0.000085
Q_ind_106_anc_2-1,0.000009,0.000000,0.000000,0.000081
Q_ind_107_anc_2-1,0.000007,0.000000,0.000000,0.000073
Q_ind_108_anc_2-1,0.000006,0.000000,0.000000,0.000066
Q_ind_109_anc_2-1,0.000008,0.000000,0.000000,0.000082
Q_ind_110_anc_2-1,0.000006,0.000000,0.000000,0.000063
Q_ind_111_anc_2-1,0.000010,0.000000,0.000000,0.000109
Q_ind_112_anc_2-1,0.000006,0.000000,0.000000,0.000063
Q_ind_113_anc_2-1,0.000008,0.000000,0.000000,0.000084
Q_ind_114_anc_2-1,0.000014,0.000000,0.000000,0.000167
